name,type,city,latitude,longitude,source
Comisión Honorífica Mexicana of Parsons,Comisión Honorífica Mexicana,"Parsons, Kansas",37.3404999,-95.2591858,Bing Maps
"Comisión Honorífica Mexicana of Independence, KS",Comisión Honorífica Mexicana,"Independence, Kansas",39.0927505,-94.4149094,Bing Maps
Comisión Honorífica Mexicana of Emporia,Comisión Honorífica Mexicana,"Emporia, Kansas",38.4123039,-96.2001648,Bing Maps
Comisión Honorífica Mexicana of Hutchinson,Comisión Honorífica Mexicana,"Hutchinson, Kansas",38.0705338,-97.9131012,Bing Maps
Comisión Honorífica Mexicana of Topeka,Comisión Honorífica Mexicana,"Topeka, Kansas",39.0509758,-95.670433,Bing Maps
Comisión Honorífica Mexicana of Dodge City,Comisión Honorífica Mexicana,"Dodge City, Kansas",37.7654686,-100.0151672,Bing Maps
Comisión Honorífica Mexicana of Chanute,Comisión Honorífica Mexicana,"Chanute, Kansas",37.6817856,-95.4525375,Bing Maps
Comisión Honorífica Mexicana of Lyons,Comisión Honorífica Mexicana,"Lyons, Kansas",38.3505822,-98.2054477,Google Maps
Comisión Honorífica Mexicana of Coffeyville,Comisión Honorífica Mexicana,"Coffeyville, Kansas",37.0329819,-95.615715,Bing Maps
Comisión Honorífica Mexicana of Garden City,Comisión Honorífica Mexicana,"Garden City, Kansas",37.9670132,-100.8774027,Google Maps
Comisión Honorífica Mexicana of Granite City,Comisión Honorífica Mexicana,"Granite City, Illinois",38.7044067,-90.1404724,Bing Maps
Comisión Honorífica Mexicana of Scottsbluff,Comisión Honorífica Mexicana,"Scottsbluff, Nebraska",41.8675957,-103.6641769,Bing Maps
Comisión Honorífica Mexicana of Minatare,Comisión Honorífica Mexicana,"Minatare, Nebraska",41.8114777,-103.5034027,Bing Maps
Comisión Honorífica Mexicana of Fairmont City,Comisión Honorífica Mexicana,"Fairmont City, Illinois",38.6452446,-90.1064911,Bing Maps
Comisión Honorífica Mexicana of Bayard,Comisión Honorífica Mexicana,"Bayard, Nebraska",41.7529488,-103.3374268,Google Maps
Comisión Honorífica Mexicana of Omaha,Comisión Honorífica Mexicana,"Omaha, Nebraska",41.2586517,-95.9371948,Bing Maps
Comisión Honorífica Mexicana of Wichita,Comisión Honorífica Mexicana,"Wichita, Kansas",37.6860237,-97.3355713,Bing Maps
Comisión Honorífica Mexicana of Wellington,Comisión Honorífica Mexicana,"Wellington, Kansas",37.2609352,-97.4014067,Google Maps
Comisión Honorífica Mexicana of East St. Louis,Comisión Honorífica Mexicana,"East St. Louis, Illinois",38.6229324,-90.1549377,Bing Maps
"Comisión Honorífica Mexicana of Independence, MO",Comisión Honorífica Mexicana,"Independence, Missouri",39.0927505,-94.4149094,Bing Maps
Comisión Honorífica Mexicana of Lyman,Comisión Honorífica Mexicana,"Lyman, Nebraska",41.9173691,-104.0453997,Google Maps
Comisión Honorífica Mexicana of Kanopolis,Comisión Honorífica Mexicana,"Kanopolis, Kansas",38.709053,-98.1579056,Bing Maps
Cruz Azul of Dodge City,Cruz Azul,"Dodge City, Kansas",37.7654686,-100.0151672,Bing Maps
Kansas City Consulate,Consulate,"Kansas City, Missouri",39.0997925,-94.5785599,Bing Maps
St. Louis Consulate,Consulate,"St. Louis, Missouri",38.6353569,-90.2009888,Bing Maps
